Rank in Europe,IMO,IPhO,IOI,IChO,EGMO,BMO,JBMO,CEOI,,PISA 2018
1,Romania,Romania,Ukraine,Turkey,Romania,Romania,Romania,Romania,,Estonia
2,Germany,Germany,Croatia,Romania,Bulgaria,Greece,Serbia,Poland,,Netherlands
3,Italy,Georgia,Romania,United Kingdom,Turkey,Bulgaria,Turkey,Croatia,,Poland
4,Poland,Bulgaria,Slovenia,Poland,Ukraine,Italy,France,Hungary,,Switzerland
5,United Kingdom,Hungary,Poland,Bulgaria,Hungary,Moldova,Greece,Slovakia ,,Denmark
6,Bulgaria,France,Bulgaria,Hungary,Germany,North Macedonia,Bulgaria,Germany,,Slovenia
7,Ukraine,Slovenia,Turkey,Germany,Poland,Serbia,North Macedonia,Ukraine,,Belgium
8,Armenia,Turkey,Serbia,Ukraine,Italy,Azerbaijan,Azerbaijan,Slovenia,,Finland
9,Greece,United Kingdom,France,Azerbaijan,United Kingdom,United Kingdom,Bosnia & Herzegovina,Switzerland,,Sweden
10,Turkey,Poland,Netherlands,Austria,Bosnia & Herzegovina,Bosnia & Herzegovina,Moldova,Italy,,United Kingdom
11,Belarus,Czech Republic,Italy,France,France,Cyprus,Croatia,Czechia,,Norway
12,France,Ukraine,Germany,Latvia,Belarus,Albania,Cyprus,Austria,,Germany
13,Hungary,Croatia,Georgia,Czech Republic,Slovakia,Montenegro,Albania,,,Ireland
14,Azerbaijan,Moldova,Macedonia,Slovakia,Azerbaijan,,Montenegro,,,Austria
15,Croatia,Belgium,Hungary,Georgia,Croatia,,,,,Czechia
16,Bosnia & Herzegovina,Netherlands,United Kingdom,Armenia,Switzerland,,,,,Latvia
17,Serbia,Armenia,Slovakia,Moldova,Republic of Moldova,,,,,France
18,North Macedonia,Estonia,Lithuania,Serbia,Serbia,,,,,Iceland
19,Netherlands,Lithuania,Armenia,Estonia,North Macedonia,,,,,Portugal
20,Switzerland,Slovakia,Austria,Greece,Georgia,,,,,Italy
21,Spain,Latvia,Czech Republic,Sweden,Netherlands,,,,,Slovakia
22,Portugal,Sweden,Finland,Denmark,Czech Republic,,,,,Luxembourg
23,Slovakia,Serbia,Latvia,Slovenia,Slovenia,,,,,Hungary
24,Republic of Moldova,Azerbaijan,Switzerland,Lithuania,Spain,,,,,Lithuania
25,Lithuania,Italy,Denmark,Netherlands,Latvia,,,,,Spain
26,Estonia,Portugal,Cyprus,Spain,Belgium,,,,,Malta
27,Czech Republic,North Macedonia,Belgium,Finland,Cyprus,,,,,Belarus
28,Denmark,Switzerland,Bosnia & Herzegovina,Switzerland,Lithuania,,,,,Croatia
29,Georgia,Bosnia & Herzegovina,Moldova,North Macedonia,Austria,,,,,Turkey
30,Austria,Denmark,Spain,Norway,Denmark,,,,,Ukraine
31,Sweden,Iceland,Sweden,Ireland,Greece,,,,,Cyprus
32,Norway,Austria,Azerbaijan,Belgium,Norway,,,,,Greece
33,Finland,Spain,Iceland,Portugal,Finland,,,,,Serbia
34,Belgium,Greece,Montenegro,Luxembourg,Ireland,,,,,Albania
35,Latvia,Cyprus,Estonia,Cyprus,Kosovo,,,,,Bulgaria
36,Cyprus,Luxembourg,Norway,Iceland,Albania,,,,,Romania
37,Ireland,,Portugal,Montenegro,,,,,,Montenegro
38,Slovenia,,Greece,,,,,,,Kazakhstan
39,Albania,,Ireland,,,,,,,Moldova
40,Kosovo,,Luxembourg,,,,,,,Azerbaijan
41,Iceland,,,,,,,,,Bosnia and Herzegovina
42,Luxembourg,,,,,,,,,Georgia
43,Montenegro,,,,,,,,,North Macedonia
44,Liechtenstein,,,,,,,,,
45,,,,,,,,,,
